Year,Quarter,District,Price
2004,Q2,Ciudad Lineal,3300.2
2004,Q2,Fuencarral,3357.6
2004,Q2,Hortaleza,3210.3
2004,Q2,Latina,2532.3
2004,Q2,Madrid,3387
2004,Q2,Moncloa,3574.3
2004,Q2,Moratalaz,2798
2004,Q2,Puente de Vallecas,2531.9
2004,Q2,Retiro,3629
2004,Q2,Salamanca,4151.8
2004,Q2,San Blas,2968.7
2004,Q2,Tetuan,3401
2004,Q2,Usera,2545.3
2004,Q2,Vicalvaro,2721.1
2004,Q2,Villa de Vallecas,2375.6
2004,Q2,Villaverde,2398.3
2004,Q3,Arganzuela,3285.1
2004,Q3,Barajas,3100.5
2004,Q3,Carabanchel,2624
2004,Q3,Centro,3464
2004,Q3,Chamartin,4139.8
2004,Q3,Chamberi,4217.4
2004,Q3,Ciudad Lineal,3352.4
2004,Q3,Fuencarral,3396.5
2004,Q3,Hortaleza,3224.9
2004,Q3,Latina,2653.9
2004,Q3,Madrid,3434.3
2004,Q3,Moncloa,3520.9
2004,Q3,Moratalaz,2916.8
2004,Q3,Puente de Vallecas,2625.5
2004,Q3,Retiro,3722
2004,Q3,Salamanca,4226.1
2004,Q3,San Blas,2971.2
2004,Q3,Tetuan,3458.6
2004,Q3,Usera,2612.5
2004,Q3,Vicalvaro,2741.7
2004,Q3,Villa de Vallecas,2437.8
2004,Q3,Villaverde,2411.2
2004,Q4,Arganzuela,3401.5
2004,Q4,Barajas,3219.3
2004,Q4,Carabanchel,2643.3
2004,Q4,Centro,3619.3
2004,Q4,Chamartin,4232.2
2004,Q4,Chamberi,4229.8
2004,Q4,Ciudad Lineal,3348.7
2004,Q4,Fuencarral,3428.4
2004,Q4,Hortaleza,3343
2004,Q4,Latina,2777
2004,Q4,Madrid,3541.3
2004,Q4,Moncloa,3645.2
2004,Q4,Moratalaz,2930.8
2004,Q4,Puente de Vallecas,2617.9
2004,Q4,Retiro,3823.9
2004,Q4,Salamanca,4311
2004,Q4,San Blas,3015.2
2004,Q4,Tetuan,3582.7
2004,Q4,Usera,2577.3
2004,Q4,Vicalvaro,2903.7
2004,Q4,Villa de Vallecas,2529.8
2004,Q4,Villaverde,2528
2005,Q1,Arganzuela,3498.5
2005,Q1,Barajas,3292.2
2005,Q1,Carabanchel,2736.2
2005,Q1,Centro,3694
2005,Q1,Chamartin,4240.6
2005,Q1,Chamberi,4262.2
2005,Q1,Ciudad Lineal,3424.3
2005,Q1,Fuencarral,3470.4
2005,Q1,Hortaleza,3351.6
2005,Q1,Latina,2825.2
2005,Q1,Madrid,3596
2005,Q1,Moncloa,3769.6
2005,Q1,Moratalaz,2930.5
2005,Q1,Puente de Vallecas,2662.5
2005,Q1,Retiro,3855.9
2005,Q1,Salamanca,4459.9
2005,Q1,San Blas,3124.4
2005,Q1,Tetuan,3661.9
2005,Q1,Usera,2689
2005,Q1,Vicalvaro,2898
2005,Q1,Villa de Vallecas,2597.6
2005,Q1,Villaverde,2534.6
2005,Q2,Arganzuela,3504.3
2005,Q2,Barajas,3452.9
2005,Q2,Carabanchel,2726.3
2005,Q2,Centro,3784.8
2005,Q2,Chamartin,4366.4
2005,Q2,Chamberi,4274.7
2005,Q2,Ciudad Lineal,3498.7
2005,Q2,Fuencarral,3502.8
2005,Q2,Hortaleza,3395.4
2005,Q2,Latina,2876.4
2005,Q2,Madrid,3638.1
2005,Q2,Moncloa,3800.7
2005,Q2,Moratalaz,2994.4
2005,Q2,Puente de Vallecas,2736
2005,Q2,Retiro,3924.5
2005,Q2,Salamanca,4467.9
2005,Q2,San Blas,3176.7
